world_cup_year,ranking_date,fifa_code,team,confederation,fifa_rank,source_revision_id,source_url,ranking_source_url
2002,2002-05-15,NGA,Nigeria,CAF,27,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,RUS,Russia,UEFA,28,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,CRC,Costa Rica,CONCACAF,29,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,TUN,Tunisia,CAF,31,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,JPN,Japan,AFC,32,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,KSA,Saudi Arabia,AFC,34,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,ECU,Ecuador,CONMEBOL,36,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,RSA,South Africa,CAF,37,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,POL,Poland,UEFA,38,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,KOR,Korea Republic,AFC,40,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,SEN,Senegal,CAF,42,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2002,2002-05-15,CHN,China PR,AFC,50,1364572375,https://en.wikipedia.org/w/index.php?title=2002_FIFA_World_Cup&oldid=1364572375,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html
2006,2006-05-17,BRA,Brazil,CONMEBOL,1,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,CZE,Czech Republic,UEFA,2,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,NED,Netherlands,UEFA,3,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,MEX,Mexico,CONCACAF,4,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,ESP,Spain,UEFA,5,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,USA,USA,CONCACAF,5,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,POR,Portugal,UEFA,7,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,FRA,France,UEFA,8,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,ARG,Argentina,CONMEBOL,9,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
2006,2006-05-17,ENG,England,UEFA,10,1364371717,https://en.wikipedia.org/w/index.php?title=2006_FIFA_World_Cup&oldid=1364371717,https://inside.fifa.com/fifa-world-ranking
